Model,MAE,RMSE,"< 5 BPM, %","< 10 BPM, %"
ExtraTrees tuned,8.197999959350128,10.986844573563642,39.55960516324981,73.19665907365224
ExtraTrees default,8.26127055389686,11.090472004768397,40.698557327258925,73.19665907365224
Voting ensemble,8.297944807990778,11.082277646449437,38.876233864844345,73.80410022779044
SVR scaled,8.423543447854417,10.962692017651195,37.737281700835226,69.09643128321945
GradientBoosting,8.653345041150395,11.43871326838877,36.59832953682612,68.48899012908124
RandomForest,8.752976939268862,11.673142977709464,36.522399392558846,70.23538344722854
HistGradientBoosting,8.83825188122036,11.5519993656776,35.079726651480634,67.72968868640851
Ridge scaled,8.92595278562798,11.867792263906493,37.58542141230068,65.83143507972665
Baseline mean,9.332490757367967,12.633919864786913,35.83902809415338,67.42596810933941
KNN scaled,9.445177712417825,12.309186103006276,35.61123766135156,62.26271829916477
